date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2021-07-27,4924.28,4940.86,4751.31,4749.03,2366312.25,-173.99,-3.53,5012.326,5061.342,5094.507,2069626.22,1856698.56,1672891.32
2021-07-26,5067.31,5067.31,4925.3,4859.6,2281117.0,-163.93,-3.22,5083.862,5100.421,5116.468,1854963.87,1786549.55,1617157.21
2021-07-23,5145.43,5145.43,5089.23,5080.0,2165368.5,-62.52,-1.21,5121.5,5121.162,5132.791,1705139.65,1764649.89,1569698.25
2021-07-22,5150.39,5171.21,5151.75,5137.88,1855568.62,7.71,0.15,5122.608,5119.183,5140.328,1611977.93,1708766.26,1538895.36
2021-07-21,5122.78,5160.54,5144.04,5122.3,1679764.75,35.05,0.69,5122.55,5112.834,5140.539,1603018.4,1697110.41,1509459.74
2021-07-20,5080.22,5114.0,5108.99,5067.86,1293000.5,-4.5,-0.09,5110.358,5112.479,5140.707,1643770.9,1677683.0,1493649.53
2021-07-19,5083.73,5120.82,5113.49,5047.62,1531995.88,18.72,0.37,5116.98,5109.89,5141.365,1718135.23,1689038.18,1494207.88
2021-07-16,5140.9,5140.9,5094.77,5090.63,1699559.88,-56.69,-1.1,5120.824,5107.12,5140.21,1824160.13,1667050.18,1483700.35
2021-07-15,5073.26,5153.81,5151.46,5067.68,1810771.0,68.38,1.34,5115.758,5105.755,5140.595,1805554.6,1627520.61,1473015.25
2021-07-14,5130.75,5130.75,5083.08,5075.13,1883527.25,-59.02,-1.15,5103.118,5113.575,5138.117,1791202.42,1573684.14,1442702.96
2021-07-13,5128.61,5154.05,5142.1,5114.94,1664822.12,9.39,0.18,5114.6,5127.671,5137.987,1711595.1,1489084.08,1411100.59
2021-07-12,5108.38,5159.41,5132.71,5070.32,2062120.38,63.27,1.25,5102.8,5132.515,5139.21,1659941.12,1447764.87,1399299.52
2021-07-09,5063.15,5081.41,5069.44,5006.41,1606532.25,-18.82,-0.37,5093.416,5144.42,5143.81,1509940.22,1374746.62,1386597.08
2021-07-08,5149.31,5151.22,5088.26,5078.93,1739010.12,-52.23,-1.02,5095.752,5161.473,5153.911,1449486.62,1369024.46,1375766.45
2021-07-07,5052.42,5152.77,5140.49,5045.41,1485490.62,57.39,1.13,5124.032,5168.244,5161.321,1356165.85,1321809.07,1349726.11
2021-07-06,5089.78,5092.21,5083.1,5028.51,1406552.25,-2.69,-0.05,5140.742,5168.934,5165.902,1266573.06,1309616.07,1340731.35
2021-07-05,5073.78,5098.23,5085.79,5048.0,1312115.88,4.67,0.09,5162.23,5172.84,5175.629,1235588.61,1299377.59,1334256.22
2021-07-02,5186.66,5186.66,5081.12,5074.36,1304264.25,-148.54,-2.84,5195.424,5173.3,5185.453,1239553.01,1300350.52,1341016.47
2021-07-01,5241.2,5252.26,5229.66,5190.88,1272406.25,5.62,0.11,5227.194,5175.435,5194.162,1288562.29,1318509.89,1346787.7
2021-06-30,5189.38,5231.43,5224.04,5186.63,1037526.69,33.5,0.65,5212.456,5162.658,5197.177,1287452.29,1311721.78,1352044.55
2021-06-29,5248.52,5248.52,5190.54,5182.68,1251630.0,-61.22,-1.17,5197.126,5148.303,5203.059,1352659.07,1333117.1,1372083.95
2021-06-28,5253.61,5260.64,5251.76,5226.22,1331937.88,11.79,0.23,5183.45,5145.905,5210.111,1363166.57,1350834.16,1381804.09
2021-06-25,5159.8,5251.61,5239.97,5157.48,1549310.62,84.0,1.63,5151.176,5143.199,5213.577,1361148.02,1398447.55,1397510.09
2021-06-24,5156.56,5160.43,5155.97,5120.58,1266856.25,8.58,0.17,5123.676,5146.349,5218.49,1348457.5,1382508.45,1394275.99
2021-06-23,5127.19,5171.03,5147.39,5109.76,1363560.62,25.23,0.49,5112.86,5154.397,5226.721,1335991.27,1377643.15,1415736.72
2021-06-22,5106.07,5125.82,5122.16,5086.28,1304167.5,31.77,0.62,5099.48,5162.87,5235.276,1313575.12,1371846.62,1439057.11
2021-06-21,5088.09,5123.78,5090.39,5058.57,1321845.12,-12.08,-0.24,5108.36,5178.417,5236.947,1338501.75,1369134.85,1437219.91
2021-06-18,5104.93,5128.03,5102.47,5064.92,1485858.0,0.58,0.01,5135.222,5197.606,5239.135,1435747.07,1381682.43,1433511.89
2021-06-17,5074.38,5123.37,5101.89,5073.82,1204525.12,21.4,0.42,5169.022,5212.888,5243.332,1416559.4,1375065.5,1428446.38
2021-06-16,5163.25,5164.52,5080.49,5076.02,1251479.88,-86.07,-1.67,5195.934,5231.696,5246.851,1419295.02,1392367.31,1427585.12
2021-06-15,5218.56,5225.5,5166.56,5137.41,1428800.62,-58.14,-1.11,5226.26,5257.815,5252.207,1430118.12,1411050.8,1424213.26
2021-06-11,5275.75,5276.1,5224.7,5213.6,1808071.75,-46.77,-0.89,5248.474,5274.316,5253.128,1399767.95,1412774.01,1429718.05
2021-06-10,5236.47,5299.53,5271.47,5229.52,1389919.62,35.02,0.67,5259.99,5283.955,5247.423,1327617.78,1396572.64,1419027.55
2021-06-09,5224.95,5253.36,5236.45,5215.35,1218203.25,4.33,0.08,5256.754,5290.631,5233.498,1333571.6,1406043.53,1415671.26
2021-06-08,5276.97,5319.04,5232.12,5201.14,1305595.38,-45.51,-0.86,5267.458,5299.045,5223.903,1365439.6,1453830.3,1418070.65
2021-06-07,5284.89,5286.84,5277.63,5242.95,1277049.75,-4.65,-0.09,5289.37,5307.681,5213.45,1391983.48,1506267.6,1428554.13
2021-06-04,5228.28,5334.49,5282.28,5221.23,1447320.88,26.99,0.51,5300.158,5295.477,5199.189,1425780.08,1505304.96,1450111.93
2021-06-03,5285.71,5314.37,5255.29,5255.07,1419688.75,-34.68,-0.66,5307.92,5280.664,5184.878,1465527.5,1485341.36,1463875.05
2021-06-02,5348.34,5352.64,5289.97,5266.79,1377543.25,-51.71,-0.97,5324.508,5273.776,5175.169,1478515.45,1481827.26,1472301.93
2021-06-01,5320.47,5343.75,5341.68,5269.26,1438314.75,10.11,0.19,5330.632,5262.006,5166.845,1542221.0,1462802.93,1483485.58
2021-05-31,5318.08,5331.63,5331.57,5281.69,1446032.75,10.48,0.2,5325.992,5246.598,5157.97,1620551.73,1437375.71,1481616.08
2021-05-28,5338.73,5360.28,5321.09,5288.65,1646058.0,-17.14,-0.32,5290.796,5231.94,5147.353,1584829.85,1446662.08,1469624.6
2021-05-27,5311.37,5378.48,5338.23,5286.05,1484628.5,17.64,0.33,5253.408,5210.89,5135.825,1505155.23,1441482.45,1449302.61
2021-05-26,5326.12,5344.28,5320.59,5308.74,1696071.0,2.11,0.04,5223.044,5176.364,5122.775,1485139.08,1425299.0,1450762.17
2021-05-25,5165.04,5324.36,5318.48,5161.52,1829968.38,162.89,3.16,5193.38,5148.76,5113.518,1383384.85,1382310.99,1426987.11
2021-05-24,5138.81,5155.59,5155.59,5092.39,1267423.38,21.44,0.42,5167.204,5119.218,5102.056,1254199.7,1350840.65,1396072.52
2021-05-21,5199.13,5216.16,5134.15,5123.12,1247684.88,-52.26,-1.01,5173.084,5102.901,5099.214,1308494.3,1394918.9,1395019.99
2021-05-20,5167.05,5201.59,5186.41,5152.04,1384547.75,14.14,0.27,5168.372,5089.091,5096.675,1377809.68,1442408.74,1400906.59
2021-05-19,5173.17,5193.56,5172.27,5151.64,1187299.88,-15.33,-0.3,5129.684,5076.562,5091.705,1365458.93,1462776.59,1409064.12
2021-05-18,5190.93,5201.67,5187.6,5156.79,1184042.62,2.61,0.05,5104.14,5071.684,5081.401,1381237.13,1504168.23,1405319.09
2021-05-17,5115.31,5206.69,5184.99,5115.31,1538896.38,74.4,1.46,5071.232,5069.341,5069.469,1447481.6,1525856.44,1400531.65
2021-05-14,5007.63,5112.98,5110.59,4981.29,1594261.75,117.62,2.36,5032.718,5062.766,5059.251,1481343.5,1492587.11,1384017.25
2021-05-13,4992.35,5022.08,4992.97,4975.45,1322794.0,-51.58,-1.02,5009.81,5060.759,5050.704,1507007.8,1457122.78,1370763.84
2021-05-12,5003.82,5051.17,5044.55,4995.4,1266190.88,21.49,0.43,5023.44,5069.186,5048.443,1560094.25,1476225.34,1380946.3
2021-05-11,4956.08,5033.49,5023.06,4925.92,1515265.0,30.64,0.61,5039.228,5078.276,5047.982,1627099.33,1471663.24,1381845.01
2021-05-10,5001.44,5019.39,4992.42,4953.7,1708205.88,-3.63,-0.07,5067.45,5084.894,5052.44,1604231.28,1441304.39,1376967.29
2021-05-07,5073.46,5093.75,4996.05,4996.04,1722583.25,-65.07,-1.29,5092.814,5095.526,5058.006,1503830.72,1395121.08,1364438.87
2021-05-06,5098.8,5132.9,5061.12,5037.41,1588226.25,-62.37,-1.22,5111.708,5104.258,5065.22,1407237.75,1359404.45,1333226.81
2021-04-30,5156.36,5163.25,5123.49,5094.93,1601216.25,-40.68,-0.79,5114.932,5106.848,5070.242,1392356.42,1355351.65,1317316.62
2021-04-29,5128.28,5170.59,5164.17,5113.65,1400924.75,44.93,0.88,5117.324,5091.117,5069.607,1316227.15,1306469.95,1297418.26
2021-04-28,5073.97,5119.45,5119.24,5059.26,1206203.12,28.72,0.56,5102.338,5069.597,5063.816,1278377.5,1275206.86,1298039.89
2021-04-27,5076.64,5095.98,5090.52,5042.61,1239618.38,13.28,0.26,5098.238,5055.736,5062.591,1286411.43,1275447.39,1307039.01
2021-04-26,5156.59,5181.11,5077.24,5072.96,1513819.62,-58.21,-1.13,5096.808,5040.648,5060.409,1311571.15,1284404.91,1316752.2
2021-04-23,5088.83,5149.98,5135.45,5086.49,1220569.88,46.21,0.91,5098.764,5027.699,5058.446,1318346.88,1285667.26,1314024.57
2021-04-22,5114.28,5119.22,5089.24,5067.14,1211676.5,-9.5,-0.19,5064.91,5017.688,5047.991,1296712.75,1292026.79,1319468.67
2021-04-21,5055.24,5110.56,5098.74,5047.99,1246372.75,15.37,0.3,5036.856,5019.985,5039.964,1272036.23,1312630.19,1338577.84
2021-04-20,5065.78,5119.86,5083.37,5058.92,1365417.0,-3.65,-0.07,5013.234,5020.485,5035.489,1264483.35,1333756.66,1355266.18
2021-04-19,4966.41,5088.21,5087.02,4940.75,1547698.25,120.84,2.43,4984.488,5026.182,5034.178,1257238.68,1307049.17,1370696.65
2021-04-16,4966.9,4979.17,4966.18,4917.96,1112399.25,17.21,0.35,4956.634,5033.636,5030.182,1252987.65,1279281.6,1375399.16
2021-04-15,4969.91,4969.91,4948.97,4900.3,1088293.88,-31.66,-0.64,4970.466,5048.096,5038.961,1287340.82,1288366.56,1391229.96
2021-04-14,4945.69,4987.12,4980.63,4940.27,1208608.38,40.99,0.83,5003.114,5058.035,5046.556,1353224.15,1320872.91,1411396.45
2021-04-13,4949.81,4994.54,4939.64,4924.2,1329193.62,-8.11,-0.16,5027.736,5069.445,5051.492,1403029.97,1338630.64,1431661.06
2021-04-12,5026.98,5045.6,4947.75,4933.01,1526443.12,-87.59,-1.74,5067.876,5080.169,5056.287,1356859.67,1349099.49,1467277.92
2021-04-09,5100.04,5100.04,5035.34,5022.09,1284165.12,-76.87,-1.5,5110.638,5089.193,5066.219,1305575.55,1342381.87,1491466.06
2021-04-08,5078.26,5129.13,5112.21,5062.07,1417710.5,8.47,0.17,5125.726,5078.294,5070.863,1289392.3,1346910.55,1522058.18
2021-04-07,5141.66,5141.66,5103.74,5065.19,1457637.5,-36.6,-0.71,5112.956,5059.942,5065.433,1288521.68,1364525.49,1536136.9
2021-04-06,5178.64,5181.15,5140.34,5125.33,1098342.12,-21.22,-0.41,5111.154,5050.493,5058.796,1274231.3,1376775.7,1578610.53
2021-04-02,5129.85,5169.83,5161.56,5116.35,1270022.5,50.78,0.99,5092.462,5042.174,5055.78,1341339.3,1434344.13,1638809.23
2021-04-01,5059.94,5115.43,5110.78,5056.87,1203248.88,62.42,1.24,5067.748,5026.727,5060.842,1379188.2,1471516.73,1676622.08
2021-03-31,5085.95,5085.95,5048.36,5015.61,1413357.38,-46.37,-0.91,5030.862,5029.826,5069.338,1404428.8,1494093.35,1722847.24
2021-03-30,5043.1,5106.04,5094.73,5032.8,1386185.62,47.85,0.95,5006.928,5035.076,5089.531,1440529.3,1501919.99,1749533.89
2021-03-29,5052.26,5086.65,5046.88,5010.39,1433882.12,8.89,0.18,4989.832,5033.539,5102.276,1479320.1,1524691.48,1778480.17
2021-03-26,4953.95,5050.83,5037.99,4953.95,1459267.0,111.64,2.27,4991.886,5032.405,5120.871,1527348.95,1585456.35,1795517.83
2021-03-25,4904.07,4950.76,4926.35,4883.66,1329451.88,-2.34,-0.05,4985.706,5043.244,5135.809,1563845.25,1640550.24,1828686.75
2021-03-24,4985.4,5024.33,4928.69,4919.89,1593859.88,-80.56,-1.61,5028.79,5063.431,5162.97,1583757.9,1697205.81,1877582.17
2021-03-23,5057.06,5064.02,5009.25,4966.53,1580139.62,-47.9,-0.95,5063.224,5070.923,5188.414,1563310.67,1707748.31,1910603.48
2021-03-22,5008.4,5071.34,5057.15,4996.54,1674026.38,50.06,1.0,5077.246,5067.098,5216.935,1570062.85,1780445.35,1948500.36
2021-03-19,5068.53,5089.92,5007.09,4980.76,1641748.5,-134.68,-2.62,5072.924,5069.385,5243.944,1643563.75,1843274.34,2005861.23
2021-03-18,5114.59,5160.46,5141.77,5111.13,1429015.12,40.91,0.8,5100.782,5094.956,5282.531,1717255.23,1881727.44,2031011.69
2021-03-17,5062.77,5123.55,5100.86,5020.13,1491623.75,21.5,0.42,5098.072,5108.85,5313.862,1810653.73,1951601.13,2068985.27
2021-03-16,5054.41,5084.31,5079.36,5009.95,1613900.5,43.82,0.87,5078.622,5143.985,5349.205,1852185.95,1997147.8,2079488.98
2021-03-15,5116.12,5120.88,5035.54,4992.4,2041530.88,-110.84,-2.15,5056.95,5171.012,5379.549,1990827.85,2032268.86,2081237.58
2021-03-12,5153.67,5153.67,5146.38,5086.82,2010205.88,18.16,0.35,5065.846,5209.336,5406.0,2042984.93,2005579.3,2061177.93
2021-03-11,5024.56,5138.41,5128.22,5020.58,1896007.62,124.61,2.49,5089.13,5228.374,5422.852,2046199.65,2016823.26,2055517.43
2021-03-10,5047.06,5055.28,5003.61,4981.62,1699284.88,32.61,0.66,5119.628,5262.508,5440.138,2092548.53,2057958.53,2051004.88
2021-03-09,5066.15,5094.31,4971.0,4917.91,2307110.0,-109.02,-2.15,5209.348,5305.904,5464.218,2142109.65,2113458.64,2060067.79
2021-03-08,5299.79,5326.26,5080.02,5079.8,2302316.25,-182.78,-3.47,5285.074,5366.771,5490.722,2073709.87,2116555.36,2027317.57
2021-03-05,5191.97,5307.82,5262.8,5174.25,2026279.5,-17.91,-0.34,5352.826,5418.502,5507.604,1968173.67,2168448.11,1995358.61
2021-03-04,5388.48,5392.37,5280.71,5254.78,2127752.0,-171.5,-3.15,5367.618,5470.106,5512.062,1987446.87,2180295.94,1985134.02
2021-03-03,5327.35,5452.4,5452.21,5316.48,1947090.5,102.58,1.92,5405.388,5518.873,5516.883,2023368.52,2186369.41,1963989.22
2021-03-02,5453.28,5454.97,5349.63,5305.05,1965111.12,-69.15,-1.28,5402.46,5554.424,5520.673,2084807.62,2161830.15,1946730.11
2021-03-01,5389.25,5421.56,5418.78,5345.94,1774635.25,82.02,1.54,5448.468,5588.086,5528.84,2159400.85,2130206.3,1934426.85
2021-02-26,5343.9,5416.32,5336.76,5318.86,2122645.5,-132.8,-2.43,5484.178,5602.664,5539.197,2368722.55,2116776.55,1944218.6
2021-02-25,5494.47,5527.63,5469.56,5444.16,2307360.25,31.99,0.59,5572.594,5617.329,5550.848,2373145.0,2094211.6,1937736.34
